Year,Married Filing Jointly (Rates/Brackets),,Married Filing Jointly Salary,Married Filing Separately (Rates/Brackets),,Married Filing Separately Salary,Single Filer (Rates/Brackets),,Single Filer Salary,Head of Household (Rates/Brackets),,Head of Household Salary
1964,41.00%,>,"$28,000 ",41.00%,>,"$14,000 ",41.00%,>,"$14,000 ",39.00%,>,"$18,000 "
1964,44.50%,>,"$32,000 ",44.50%,>,"$16,000 ",44.50%,>,"$16,000 ",42.50%,>,"$20,000 "
1964,47.50%,>,"$36,000 ",47.50%,>,"$18,000 ",47.50%,>,"$18,000 ",43.50%,>,"$22,000 "
1964,50.50%,>,"$40,000 ",50.50%,>,"$20,000 ",50.50%,>,"$20,000 ",45.50%,>,"$24,000 "
1964,53.50%,>,"$44,000 ",53.50%,>,"$22,000 ",53.50%,>,"$22,000 ",47.00%,>,"$26,000 "
1964,56.00%,>,"$52,000 ",56.00%,>,"$26,000 ",56.00%,>,"$26,000 ",48.50%,>,"$28,000 "
1964,58.50%,>,"$64,000 ",58.50%,>,"$32,000 ",58.50%,>,"$32,000 ",51.50%,>,"$32,000 "
1964,61.00%,>,"$76,000 ",61.00%,>,"$38,000 ",61.00%,>,"$38,000 ",53.00%,>,"$36,000 "
1964,63.50%,>,"$88,000 ",63.50%,>,"$44,000 ",63.50%,>,"$44,000 ",54.00%,>,"$38,000 "
1964,66.00%,>,"$100,000 ",66.00%,>,"$50,000 ",66.00%,>,"$50,000 ",56.00%,>,"$40,000 "
1964,68.50%,>,"$120,000 ",68.50%,>,"$60,000 ",68.50%,>,"$60,000 ",58.50%,>,"$44,000 "
1964,71.00%,>,"$140,000 ",71.00%,>,"$70,000 ",71.00%,>,"$70,000 ",59.50%,>,"$50,000 "
1964,73.50%,>,"$160,000 ",73.50%,>,"$80,000 ",73.50%,>,"$80,000 ",61.00%,>,"$52,000 "
1964,75.00%,>,"$180,000 ",75.00%,>,"$90,000 ",75.00%,>,"$90,000 ",62.00%,>,"$60,000 "
1964,76.50%,>,"$200,000 ",76.50%,>,"$100,000 ",76.50%,>,"$100,000 ",63.50%,>,"$64,000 "
1964,77.00%,>,"$400,000 ",77.00%,>,"$200,000 ",77.00%,>,"$200,000 ",65.00%,>,"$70,000 "
1964,,,,,,,,,,66.00%,>,"$76,000 "
1964,,,,,,,,,,67.00%,>,"$80,000 "
1964,,,,,,,,,,69.00%,>,"$88,000 "
1964,,,,,,,,,,69.50%,>,"$90,000 "
1964,,,,,,,,,,71.00%,>,"$100,000 "
1964,,,,,,,,,,72.50%,>,"$120,000 "
1964,,,,,,,,,,74.00%,>,"$140,000 "
1964,,,,,,,,,,75.00%,>,"$160,000 "
1964,,,,,,,,,,75.50%,>,"$180,000 "
1964,,,,,,,,,,77.00%,>,"$200,000 "
,,,,,,,,,,,,
1963,20.00%,>,$0 ,20.00%,>,$0 ,20.00%,>,$0 ,20.00%,>,$0 
1963,22.00%,>,"$4,000 ",22.00%,>,"$2,000 ",22.00%,>,"$2,000 ",21.00%,>,"$2,000 "
1963,26.00%,>,"$8,000 ",26.00%,>,"$4,000 ",26.00%,>,"$4,000 ",24.00%,>,"$4,000 "
1963,30.00%,>,"$12,000 ",30.00%,>,"$6,000 ",30.00%,>,"$6,000 ",26.00%,>,"$6,000 "
1963,34.00%,>,"$16,000 ",34.00%,>,"$8,000 ",34.00%,>,"$8,000 ",30.00%,>,"$8,000 "
1963,38.00%,>,"$20,000 ",38.00%,>,"$10,000 ",38.00%,>,"$10,000 ",32.00%,>,"$10,000 "
1963,43.00%,>,"$24,000 ",43.00%,>,"$12,000 ",43.00%,>,"$12,000 ",36.00%,>,"$12,000 "
1963,47.00%,>,"$28,000 ",47.00%,>,"$14,000 ",47.00%,>,"$14,000 ",39.00%,>,"$14,000 "
1963,50.00%,>,"$32,000 ",50.00%,>,"$16,000 ",50.00%,>,"$16,000 ",42.00%,>,"$16,000 "
1963,53.00%,>,"$36,000 ",53.00%,>,"$18,000 ",53.00%,>,"$18,000 ",43.00%,>,"$18,000 "
1963,56.00%,>,"$40,000 ",56.00%,>,"$20,000 ",56.00%,>,"$20,000 ",47.00%,>,"$20,000 "
1963,59.00%,>,"$44,000 ",59.00%,>,"$22,000 ",59.00%,>,"$22,000 ",49.00%,>,"$22,000 "
1963,62.00%,>,"$52,000 ",62.00%,>,"$26,000 ",62.00%,>,"$26,000 ",52.00%,>,"$24,000 "
1963,65.00%,>,"$64,000 ",65.00%,>,"$32,000 ",65.00%,>,"$32,000 ",54.00%,>,"$28,000 "
1963,69.00%,>,"$76,000 ",69.00%,>,"$38,000 ",69.00%,>,"$38,000 ",58.00%,>,"$32,000 "
1963,72.00%,>,"$88,000 ",72.00%,>,"$44,000 ",72.00%,>,"$44,000 ",62.00%,>,"$38,000 "
1963,75.00%,>,"$100,000 ",75.00%,>,"$50,000 ",75.00%,>,"$50,000 ",66.00%,>,"$44,000 "
1963,78.00%,>,"$120,000 ",78.00%,>,"$60,000 ",78.00%,>,"$60,000 ",68.00%,>,"$50,000 "
1963,81.00%,>,"$140,000 ",81.00%,>,"$70,000 ",81.00%,>,"$70,000 ",71.00%,>,"$60,000 "
1963,84.00%,>,"$160,000 ",84.00%,>,"$80,000 ",84.00%,>,"$80,000 ",74.00%,>,"$70,000 "
1963,87.00%,>,"$180,000 ",87.00%,>,"$90,000 ",87.00%,>,"$90,000 ",76.00%,>,"$80,000 "
1963,89.00%,>,"$200,000 ",89.00%,>,"$100,000 ",89.00%,>,"$100,000 ",80.00%,>,"$90,000 "
1963,90.00%,>,"$300,000 ",90.00%,>,"$150,000 ",90.00%,>,"$150,000 ",83.00%,>,"$100,000 "
1963,91.00%,>,"$400,000 ",91.00%,>,"$200,000 ",91.00%,>,"$200,000 ",87.00%,>,"$150,000 "
1963,,,,,,,,,,90.00%,>,"$200,000 "
1963,,,,,,,,,,91.00%,>,"$300,000 "
,,,,,,,,,,,,
1962,20.00%,>,$0 ,20.00%,>,$0 ,20.00%,>,$0 ,20.00%,>,$0 
1962,22.00%,>,"$4,000 ",22.00%,>,"$2,000 ",22.00%,>,"$2,000 ",21.00%,>,"$2,000 "
1962,26.00%,>,"$8,000 ",26.00%,>,"$4,000 ",26.00%,>,"$4,000 ",24.00%,>,"$4,000 "
1962,30.00%,>,"$12,000 ",30.00%,>,"$6,000 ",30.00%,>,"$6,000 ",26.00%,>,"$6,000 "
1962,34.00%,>,"$16,000 ",34.00%,>,"$8,000 ",34.00%,>,"$8,000 ",30.00%,>,"$8,000 "
1962,38.00%,>,"$20,000 ",38.00%,>,"$10,000 ",38.00%,>,"$10,000 ",32.00%,>,"$10,000 "
1962,43.00%,>,"$24,000 ",43.00%,>,"$12,000 ",43.00%,>,"$12,000 ",36.00%,>,"$12,000 "
1962,47.00%,>,"$28,000 ",47.00%,>,"$14,000 ",47.00%,>,"$14,000 ",39.00%,>,"$14,000 "
1962,50.00%,>,"$32,000 ",50.00%,>,"$16,000 ",50.00%,>,"$16,000 ",42.00%,>,"$16,000 "
1962,53.00%,>,"$36,000 ",53.00%,>,"$18,000 ",53.00%,>,"$18,000 ",43.00%,>,"$18,000 "
1962,56.00%,>,"$40,000 ",56.00%,>,"$20,000 ",56.00%,>,"$20,000 ",47.00%,>,"$20,000 "
1962,59.00%,>,"$44,000 ",59.00%,>,"$22,000 ",59.00%,>,"$22,000 ",49.00%,>,"$22,000 "
1962,62.00%,>,"$52,000 ",62.00%,>,"$26,000 ",62.00%,>,"$26,000 ",52.00%,>,"$24,000 "
1962,65.00%,>,"$64,000 ",65.00%,>,"$32,000 ",65.00%,>,"$32,000 ",54.00%,>,"$28,000 "
1962,69.00%,>,"$76,000 ",69.00%,>,"$38,000 ",69.00%,>,"$38,000 ",58.00%,>,"$32,000 "
1962,72.00%,>,"$88,000 ",72.00%,>,"$44,000 ",72.00%,>,"$44,000 ",62.00%,>,"$38,000 "
1962,75.00%,>,"$100,000 ",75.00%,>,"$50,000 ",75.00%,>,"$50,000 ",66.00%,>,"$44,000 "
1962,78.00%,>,"$120,000 ",78.00%,>,"$60,000 ",78.00%,>,"$60,000 ",68.00%,>,"$50,000 "
1962,81.00%,>,"$140,000 ",81.00%,>,"$70,000 ",81.00%,>,"$70,000 ",71.00%,>,"$60,000 "
1962,84.00%,>,"$160,000 ",84.00%,>,"$80,000 ",84.00%,>,"$80,000 ",74.00%,>,"$70,000 "
1962,87.00%,>,"$180,000 ",87.00%,>,"$90,000 ",87.00%,>,"$90,000 ",76.00%,>,"$80,000 "
1962,89.00%,>,"$200,000 ",89.00%,>,"$100,000 ",89.00%,>,"$100,000 ",80.00%,>,"$90,000 "
1962,90.00%,>,"$300,000 ",90.00%,>,"$150,000 ",90.00%,>,"$150,000 ",83.00%,>,"$100,000 "
1962,91.00%,>,"$400,000 ",91.00%,>,"$200,000 ",91.00%,>,"$200,000 ",87.00%,>,"$150,000 "
1962,,,,,,,,,,90.00%,>,"$200,000 "
1962,,,,,,,,,,91.00%,>,"$300,000 "
,,,,,,,,,,,,
1961,20.00%,>,$0 ,20.00%,>,$0 ,20.00%,>,$0 ,20.00%,>,$0 
1961,22.00%,>,"$4,000 ",22.00%,>,"$2,000 ",22.00%,>,"$2,000 ",21.00%,>,"$2,000 "
1961,26.00%,>,"$8,000 ",26.00%,>,"$4,000 ",26.00%,>,"$4,000 ",24.00%,>,"$4,000 "
1961,30.00%,>,"$12,000 ",30.00%,>,"$6,000 ",30.00%,>,"$6,000 ",26.00%,>,"$6,000 "
1961,34.00%,>,"$16,000 ",34.00%,>,"$8,000 ",34.00%,>,"$8,000 ",30.00%,>,"$8,000 "
1961,38.00%,>,"$20,000 ",38.00%,>,"$10,000 ",38.00%,>,"$10,000 ",32.00%,>,"$10,000 "
1961,43.00%,>,"$24,000 ",43.00%,>,"$12,000 ",43.00%,>,"$12,000 ",36.00%,>,"$12,000 "
1961,47.00%,>,"$28,000 ",47.00%,>,"$14,000 ",47.00%,>,"$14,000 ",39.00%,>,"$14,000 "
1961,50.00%,>,"$32,000 ",50.00%,>,"$16,000 ",50.00%,>,"$16,000 ",42.00%,>,"$16,000 "
1961,53.00%,>,"$36,000 ",53.00%,>,"$18,000 ",53.00%,>,"$18,000 ",43.00%,>,"$18,000 "
1961,56.00%,>,"$40,000 ",56.00%,>,"$20,000 ",56.00%,>,"$20,000 ",47.00%,>,"$20,000 "
1961,59.00%,>,"$44,000 ",59.00%,>,"$22,000 ",59.00%,>,"$22,000 ",49.00%,>,"$22,000 "
1961,62.00%,>,"$52,000 ",62.00%,>,"$26,000 ",62.00%,>,"$26,000 ",52.00%,>,"$24,000 "
1961,65.00%,>,"$64,000 ",65.00%,>,"$32,000 ",65.00%,>,"$32,000 ",54.00%,>,"$28,000 "
1961,69.00%,>,"$76,000 ",69.00%,>,"$38,000 ",69.00%,>,"$38,000 ",58.00%,>,"$32,000 "
1961,72.00%,>,"$88,000 ",72.00%,>,"$44,000 ",72.00%,>,"$44,000 ",62.00%,>,"$38,000 "
1961,75.00%,>,"$100,000 ",75.00%,>,"$50,000 ",75.00%,>,"$50,000 ",66.00%,>,"$44,000 "
1961,78.00%,>,"$120,000 ",78.00%,>,"$60,000 ",78.00%,>,"$60,000 ",68.00%,>,"$50,000 "
1961,81.00%,>,"$140,000 ",81.00%,>,"$70,000 ",81.00%,>,"$70,000 ",71.00%,>,"$60,000 "
1961,84.00%,>,"$160,000 ",84.00%,>,"$80,000 ",84.00%,>,"$80,000 ",74.00%,>,"$70,000 "
1961,87.00%,>,"$180,000 ",87.00%,>,"$90,000 ",87.00%,>,"$90,000 ",76.00%,>,"$80,000 "
1961,89.00%,>,"$200,000 ",89.00%,>,"$100,000 ",89.00%,>,"$100,000 ",80.00%,>,"$90,000 "
1961,90.00%,>,"$300,000 ",90.00%,>,"$150,000 ",90.00%,>,"$150,000 ",83.00%,>,"$100,000 "
1961,91.00%,>,"$400,000 ",91.00%,>,"$200,000 ",91.00%,>,"$200,000 ",87.00%,>,"$150,000 "
1961,,,,,,,,,,90.00%,>,"$200,000 "
1961,,,,,,,,,,91.00%,>,"$300,000 "
,,,,,,,,,,,,
1960,20.00%,>,$0 ,20.00%,>,$0 ,20.00%,>,$0 ,20.00%,>,$0 
1960,22.00%,>,"$4,000 ",22.00%,>,"$2,000 ",22.00%,>,"$2,000 ",21.00%,>,"$2,000 "
1960,26.00%,>,"$8,000 ",26.00%,>,"$4,000 ",26.00%,>,"$4,000 ",24.00%,>,"$4,000 "
1960,30.00%,>,"$12,000 ",30.00%,>,"$6,000 ",30.00%,>,"$6,000 ",26.00%,>,"$6,000 "
1960,34.00%,>,"$16,000 ",34.00%,>,"$8,000 ",34.00%,>,"$8,000 ",30.00%,>,"$8,000 "
1960,38.00%,>,"$20,000 ",38.00%,>,"$10,000 ",38.00%,>,"$10,000 ",32.00%,>,"$10,000 "
1960,43.00%,>,"$24,000 ",43.00%,>,"$12,000 ",43.00%,>,"$12,000 ",36.00%,>,"$12,000 "
1960,47.00%,>,"$28,000 ",47.00%,>,"$14,000 ",47.00%,>,"$14,000 ",39.00%,>,"$14,000 "
1960,50.00%,>,"$32,000 ",50.00%,>,"$16,000 ",50.00%,>,"$16,000 ",42.00%,>,"$16,000 "
1960,53.00%,>,"$36,000 ",53.00%,>,"$18,000 ",53.00%,>,"$18,000 ",43.00%,>,"$18,000 "
1960,56.00%,>,"$40,000 ",56.00%,>,"$20,000 ",56.00%,>,"$20,000 ",47.00%,>,"$20,000 "
1960,59.00%,>,"$44,000 ",59.00%,>,"$22,000 ",59.00%,>,"$22,000 ",49.00%,>,"$22,000 "
1960,62.00%,>,"$52,000 ",62.00%,>,"$26,000 ",62.00%,>,"$26,000 ",52.00%,>,"$24,000 "
1960,65.00%,>,"$64,000 ",65.00%,>,"$32,000 ",65.00%,>,"$32,000 ",54.00%,>,"$28,000 "
1960,69.00%,>,"$76,000 ",69.00%,>,"$38,000 ",69.00%,>,"$38,000 ",58.00%,>,"$32,000 "
1960,72.00%,>,"$88,000 ",72.00%,>,"$44,000 ",72.00%,>,"$44,000 ",62.00%,>,"$38,000 "
1960,75.00%,>,"$100,000 ",75.00%,>,"$50,000 ",75.00%,>,"$50,000 ",66.00%,>,"$44,000 "
1960,78.00%,>,"$120,000 ",78.00%,>,"$60,000 ",78.00%,>,"$60,000 ",68.00%,>,"$50,000 "
1960,81.00%,>,"$140,000 ",81.00%,>,"$70,000 ",81.00%,>,"$70,000 ",71.00%,>,"$60,000 "
1960,84.00%,>,"$160,000 ",84.00%,>,"$80,000 ",84.00%,>,"$80,000 ",74.00%,>,"$70,000 "
1960,87.00%,>,"$180,000 ",87.00%,>,"$90,000 ",87.00%,>,"$90,000 ",76.00%,>,"$80,000 "
1960,89.00%,>,"$200,000 ",89.00%,>,"$100,000 ",89.00%,>,"$100,000 ",80.00%,>,"$90,000 "
1960,90.00%,>,"$300,000 ",90.00%,>,"$150,000 ",90.00%,>,"$150,000 ",83.00%,>,"$100,000 "
1960,91.00%,>,"$400,000 ",91.00%,>,"$200,000 ",91.00%,>,"$200,000 ",87.00%,>,"$150,000 "
1960,,,,,,,,,,90.00%,>,"$200,000 "
1960,,,,,,,,,,91.00%,>,"$300,000 "
,,,,,,,,,,,,
1959,20.00%,>,$0 ,20.00%,>,$0 ,20.00%,>,$0 ,20.00%,>,$0 
1959,22.00%,>,"$4,000 ",22.00%,>,"$2,000 ",22.00%,>,"$2,000 ",21.00%,>,"$2,000 "
1959,26.00%,>,"$8,000 ",26.00%,>,"$4,000 ",26.00%,>,"$4,000 ",24.00%,>,"$4,000 "
1959,30.00%,>,"$12,000 ",30.00%,>,"$6,000 ",30.00%,>,"$6,000 ",26.00%,>,"$6,000 "
1959,34.00%,>,"$16,000 ",34.00%,>,"$8,000 ",34.00%,>,"$8,000 ",30.00%,>,"$8,000 "
1959,38.00%,>,"$20,000 ",38.00%,>,"$10,000 ",38.00%,>,"$10,000 ",32.00%,>,"$10,000 "
1959,43.00%,>,"$24,000 ",43.00%,>,"$12,000 ",43.00%,>,"$12,000 ",36.00%,>,"$12,000 "
1959,47.00%,>,"$28,000 ",47.00%,>,"$14,000 ",47.00%,>,"$14,000 ",39.00%,>,"$14,000 "
1959,50.00%,>,"$32,000 ",50.00%,>,"$16,000 ",50.00%,>,"$16,000 ",42.00%,>,"$16,000 "
1959,53.00%,>,"$36,000 ",53.00%,>,"$18,000 ",53.00%,>,"$18,000 ",43.00%,>,"$18,000 "
1959,56.00%,>,"$40,000 ",56.00%,>,"$20,000 ",56.00%,>,"$20,000 ",47.00%,>,"$20,000 "
1959,59.00%,>,"$44,000 ",59.00%,>,"$22,000 ",59.00%,>,"$22,000 ",49.00%,>,"$22,000 "
1959,62.00%,>,"$52,000 ",62.00%,>,"$26,000 ",62.00%,>,"$26,000 ",52.00%,>,"$24,000 "
1959,65.00%,>,"$64,000 ",65.00%,>,"$32,000 ",65.00%,>,"$32,000 ",54.00%,>,"$28,000 "
1959,69.00%,>,"$76,000 ",69.00%,>,"$38,000 ",69.00%,>,"$38,000 ",58.00%,>,"$32,000 "
1959,72.00%,>,"$88,000 ",72.00%,>,"$44,000 ",72.00%,>,"$44,000 ",62.00%,>,"$38,000 "
1959,75.00%,>,"$100,000 ",75.00%,>,"$50,000 ",75.00%,>,"$50,000 ",66.00%,>,"$44,000 "
1959,78.00%,>,"$120,000 ",78.00%,>,"$60,000 ",78.00%,>,"$60,000 ",68.00%,>,"$50,000 "
1959,81.00%,>,"$140,000 ",81.00%,>,"$70,000 ",81.00%,>,"$70,000 ",71.00%,>,"$60,000 "
1959,84.00%,>,"$160,000 ",84.00%,>,"$80,000 ",84.00%,>,"$80,000 ",74.00%,>,"$70,000 "
1959,87.00%,>,"$180,000 ",87.00%,>,"$90,000 ",87.00%,>,"$90,000 ",76.00%,>,"$80,000 "
1959,89.00%,>,"$200,000 ",89.00%,>,"$100,000 ",89.00%,>,"$100,000 ",80.00%,>,"$90,000 "
1959,90.00%,>,"$300,000 ",90.00%,>,"$150,000 ",90.00%,>,"$150,000 ",83.00%,>,"$100,000 "
1959,91.00%,>,"$400,000 ",91.00%,>,"$200,000 ",91.00%,>,"$200,000 ",87.00%,>,"$150,000 "
1959,,,,,,,,,,90.00%,>,"$200,000 "
1959,,,,,,,,,,91.00%,>,"$300,000 "
,,,,,,,,,,,,
1958,20.00%,>,$0 ,20.00%,>,$0 ,20.00%,>,$0 ,20.00%,>,$0 
1958,22.00%,>,"$4,000 ",22.00%,>,"$2,000 ",22.00%,>,"$2,000 ",21.00%,>,"$2,000 "
1958,26.00%,>,"$8,000 ",26.00%,>,"$4,000 ",26.00%,>,"$4,000 ",24.00%,>,"$4,000 "
1958,30.00%,>,"$12,000 ",30.00%,>,"$6,000 ",30.00%,>,"$6,000 ",26.00%,>,"$6,000 "
1958,34.00%,>,"$16,000 ",34.00%,>,"$8,000 ",34.00%,>,"$8,000 ",30.00%,>,"$8,000 "
1958,38.00%,>,"$20,000 ",38.00%,>,"$10,000 ",38.00%,>,"$10,000 ",32.00%,>,"$10,000 "
1958,43.00%,>,"$24,000 ",43.00%,>,"$12,000 ",43.00%,>,"$12,000 ",36.00%,>,"$12,000 "
1958,47.00%,>,"$28,000 ",47.00%,>,"$14,000 ",47.00%,>,"$14,000 ",39.00%,>,"$14,000 "
1958,50.00%,>,"$32,000 ",50.00%,>,"$16,000 ",50.00%,>,"$16,000 ",42.00%,>,"$16,000 "
1958,53.00%,>,"$36,000 ",53.00%,>,"$18,000 ",53.00%,>,"$18,000 ",43.00%,>,"$18,000 "
1958,56.00%,>,"$40,000 ",56.00%,>,"$20,000 ",56.00%,>,"$20,000 ",47.00%,>,"$20,000 "
1958,59.00%,>,"$44,000 ",59.00%,>,"$22,000 ",59.00%,>,"$22,000 ",49.00%,>,"$22,000 "
1958,62.00%,>,"$52,000 ",62.00%,>,"$26,000 ",62.00%,>,"$26,000 ",52.00%,>,"$24,000 "
1958,65.00%,>,"$64,000 ",65.00%,>,"$32,000 ",65.00%,>,"$32,000 ",54.00%,>,"$28,000 "
1958,69.00%,>,"$76,000 ",69.00%,>,"$38,000 ",69.00%,>,"$38,000 ",58.00%,>,"$32,000 "
1958,72.00%,>,"$88,000 ",72.00%,>,"$44,000 ",72.00%,>,"$44,000 ",62.00%,>,"$38,000 "
1958,75.00%,>,"$100,000 ",75.00%,>,"$50,000 ",75.00%,>,"$50,000 ",66.00%,>,"$44,000 "
1958,78.00%,>,"$120,000 ",78.00%,>,"$60,000 ",78.00%,>,"$60,000 ",68.00%,>,"$50,000 "
1958,81.00%,>,"$140,000 ",81.00%,>,"$70,000 ",81.00%,>,"$70,000 ",71.00%,>,"$60,000 "
1958,84.00%,>,"$160,000 ",84.00%,>,"$80,000 ",84.00%,>,"$80,000 ",74.00%,>,"$70,000 "
1958,87.00%,>,"$180,000 ",87.00%,>,"$90,000 ",87.00%,>,"$90,000 ",76.00%,>,"$80,000 "
1958,89.00%,>,"$200,000 ",89.00%,>,"$100,000 ",89.00%,>,"$100,000 ",80.00%,>,"$90,000 "
1958,90.00%,>,"$300,000 ",90.00%,>,"$150,000 ",90.00%,>,"$150,000 ",83.00%,>,"$100,000 "
1958,91.00%,>,"$400,000 ",91.00%,>,"$200,000 ",91.00%,>,"$200,000 ",87.00%,>,"$150,000 "
1958,,,,,,,,,,90.00%,>,"$200,000 "
1958,,,,,,,,,,91.00%,>,"$300,000 "
,,,,,,,,,,,,
1957,20.00%,>,$0 ,20.00%,>,$0 ,20.00%,>,$0 ,20.00%,>,$0 
1957,22.00%,>,"$4,000 ",22.00%,>,"$2,000 ",22.00%,>,"$2,000 ",21.00%,>,"$2,000 "
1957,26.00%,>,"$8,000 ",26.00%,>,"$4,000 ",26.00%,>,"$4,000 ",24.00%,>,"$4,000 "
1957,30.00%,>,"$12,000 ",30.00%,>,"$6,000 ",30.00%,>,"$6,000 ",26.00%,>,"$6,000 "
1957,34.00%,>,"$16,000 ",34.00%,>,"$8,000 ",34.00%,>,"$8,000 ",30.00%,>,"$8,000 "
1957,38.00%,>,"$20,000 ",38.00%,>,"$10,000 ",38.00%,>,"$10,000 ",32.00%,>,"$10,000 "
1957,43.00%,>,"$24,000 ",43.00%,>,"$12,000 ",43.00%,>,"$12,000 ",36.00%,>,"$12,000 "
1957,47.00%,>,"$28,000 ",47.00%,>,"$14,000 ",47.00%,>,"$14,000 ",39.00%,>,"$14,000 "
1957,50.00%,>,"$32,000 ",50.00%,>,"$16,000 ",50.00%,>,"$16,000 ",42.00%,>,"$16,000 "
1957,53.00%,>,"$36,000 ",53.00%,>,"$18,000 ",53.00%,>,"$18,000 ",43.00%,>,"$18,000 "
1957,56.00%,>,"$40,000 ",56.00%,>,"$20,000 ",56.00%,>,"$20,000 ",47.00%,>,"$20,000 "
1957,59.00%,>,"$44,000 ",59.00%,>,"$22,000 ",59.00%,>,"$22,000 ",49.00%,>,"$22,000 "
1957,62.00%,>,"$52,000 ",62.00%,>,"$26,000 ",62.00%,>,"$26,000 ",52.00%,>,"$24,000 "
1957,65.00%,>,"$64,000 ",65.00%,>,"$32,000 ",65.00%,>,"$32,000 ",54.00%,>,"$28,000 "
